id,X,Y,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
1,-73.956134493786095,40.794082388408597,37F-PM-1014-03,PM,2018-10-14,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
2,-73.968857469110205,40.783782520844397,21B-AM-1019-04,AM,2018-10-19,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
3,-73.974281148485204,40.775533619082999,11B-PM-1014-08,PM,2018-10-14,,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
4,-73.959641390394793,40.790312888902903,32E-PM-1017-14,PM,2018-10-17,Adult,Gray,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
5,-73.970267647261295,40.776212685489398,13E-AM-1017-05,AM,2018-10-17,Adult,Gray,Above Ground,on tree stump,False,False,False,False,False,,False,False,False,False,False,False,False,False
6,-73.968361351622505,40.772590884749903,11H-AM-1010-03,AM,2018-10-10,Adult,Cinnamon,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
7,-73.954120178979494,40.793181170108198,36H-AM-1010-02,AM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
8,-73.958269431228899,40.791736782025502,33F-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
9,-73.967428595529299,40.782972391974397,21C-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
10,-73.972250019684395,40.774287959902601,11D-AM-1010-03,AM,2018-10-10,Adult,Gray,Above Ground,,False,False,False,False,False,grooming,False,False,False,False,False,False,False,False
11,-73.969506353533305,40.782350767818301,20B-PM-1013-05,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
12,-73.964003282652897,40.782030982544804,22F-PM-1014-06,PM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
13,-73.953217050486501,40.791966973996203,36I-PM-1007-01,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
14,-73.976860363067402,40.770279590496202,5C-PM-1010-09,PM,2018-10-10,Adult,Cinnamon,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
15,-73.970610589696705,40.769812482150698,7H-AM-1006-05,AM,2018-10-06,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
16,-73.970378172617202,40.778752613032097,16C-PM-1018-03,PM,2018-10-18,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
17,-73.970392521047103,40.776503200499199,14E-AM-1008-23,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,False,walking,False,False,False,False,False,False,False,False
18,-73.963817943974703,40.792417326390400,32A-PM-1013-03,PM,2018-10-13,Juvenile,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
19,-73.958407097473398,40.791381249055704,33F-AM-1008-01,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,False,moving slowly,False,False,False,False,False,False,False,False
20,-73.967113068011400,40.778485970017101,17F-AM-1007-07,AM,2018-10-07,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
21,-73.964986601603798,40.776492969445698,16I-AM-1008-01,AM,2018-10-08,Adult,Cinnamon,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
22,-73.967062855816096,40.773499142094103,12I-AM-1013-01,AM,2018-10-13,Adult,Cinnamon,Ground Plane,on tree roots,False,False,False,False,False,sitting,False,False,False,False,False,False,False,False
23,-73.958736593110999,40.790852437062597,32F-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
24,-73.967178671525602,40.786735279123199,25A-AM-1013-04,AM,2018-10-13,,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
25,-73.969294329161102,40.776953610248803,15E-AM-1013-01,AM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
26,-73.954005410053895,40.795244599983597,39G-PM-1013-06,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
27,-73.957653015725498,40.786865949039701,29I-PM-1007-01,PM,2018-10-07,,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
28,-73.973803325747298,40.771184689416600,7E-AM-1006-02,AM,2018-10-06,Adult,Gray,Ground Plane,under a tree,False,False,False,False,False,,False,False,False,False,False,False,False,False
29,-73.970440268101697,40.779896562120300,17C-PM-1013-05,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,False,eating (ate upside down on a tree — #jealous),False,False,False,False,False,False,False,False
